Graba tu seña aquí,Video con landmarks,Predicción,timestamp
.gradio/flagged/Graba tu seña aquí/96a8931423b5b9064acc/sample.webm,,,2026-05-28 17:18:25.653801
.gradio/flagged/Graba tu seña aquí/c63052566ef768fb53b0/sample.webm,,,2026-05-28 17:18:27.513724
